local_id_attribute	symbol	geneid
529_201001_s_at	NA	NA
530_201002_s_at	NA	NA
531_201003_x_at	NA	NA
532_201004_at	SSR4	6748
533_201005_at	CD9	928
534_201006_at	PRDX2	7001
535_201007_at	HADHB	3032
536_201008_s_at	TXNIP	10628
537_201009_s_at	TXNIP	10628
538_201010_s_at	TXNIP	10628
539_201011_at	RPN1	6184
540_201012_at	ANXA1	301
541_201013_s_at	PAICS	10606
542_201014_s_at	PAICS	10606
543_201015_s_at	JUP	3728
544_201016_at	EIF1AX	1964
545_201017_at	EIF1AX	1964
546_201018_at	EIF1AX	1964
547_201019_s_at	NA	NA
548_201020_at	YWHAH	7533
549_201021_s_at	DSTN	11034
550_201022_s_at	DSTN	11034
551_201023_at	TAF7	6879
552_201024_x_at	EIF5B	9669
553_201025_at	EIF5B	9669
554_201026_at	EIF5B	9669
555_201027_s_at	EIF5B	9669
556_201028_s_at	CD99	4267
557_201029_s_at	CD99	4267
558_201030_x_at	LDHB	3945
559_201031_s_at	HNRNPH1	3187
560_201032_at	BLCAP	10904
561_201033_x_at	RPLP0	6175
562_201034_at	ADD3	120
563_201035_s_at	HADH	3033
564_201036_s_at	HADH	3033
565_201037_at	PFKP	5214
566_201038_s_at	ANP32A	8125
567_201039_s_at	RAD23A	5886
568_201040_at	GNAI2	2771
569_201041_s_at	DUSP1	1843
570_201042_at	TGM2	7052
571_201043_s_at	ANP32A	8125
572_201044_x_at	DUSP1	1843
573_201045_s_at	RAB6A	5870
574_201046_s_at	RAD23A	5886
575_201047_x_at	RAB6A	5870
576_201048_x_at	RAB6A	5870
577_201049_s_at	RPS18	6222
578_201050_at	PLD3	23646
579_201051_at	ANP32A	8125
580_201052_s_at	PSMF1	9491
581_201053_s_at	PSMF1	9491
582_201054_at	HNRNPA0	10949
583_201055_s_at	HNRNPA0	10949
584_201056_at	GOLGB1	2804
585_201057_s_at	GOLGB1	2804
586_201058_s_at	MYL9	10398
587_201059_at	CTTN	2017
588_201060_x_at	STOM	2040
589_201061_s_at	STOM	2040
590_201062_at	STOM	2040
591_201063_at	RCN1	5954
592_201064_s_at	PABPC4	8761
593_201065_s_at	NA	NA
594_201066_at	CYC1	1537
595_201067_at	PSMC2	5701
596_201068_s_at	PSMC2	5701
597_201069_at	MMP2	4313
598_201070_x_at	SF3B1	23451
599_201071_x_at	SF3B1	23451
600_201072_s_at	SMARCC1	6599
601_201073_s_at	SMARCC1	6599
602_201074_at	SMARCC1	6599
603_201075_s_at	SMARCC1	6599
604_201076_at	NHP2L1	4809
605_201077_s_at	NHP2L1	4809
606_201078_at	TM9SF2	9375
607_201079_at	SYNGR2	9144
608_201080_at	PIP4K2B	8396
609_201081_s_at	PIP4K2B	8396
610_201082_s_at	DCTN1	1639
611_201083_s_at	BCLAF1	9774
612_201084_s_at	BCLAF1	9774
613_201085_s_at	SON	6651
614_201086_x_at	SON	6651
615_201087_at	PXN	5829
616_201088_at	KPNA2	3838
617_201089_at	ATP6V1B2	526
618_201090_x_at	TUBA1B	10376
619_201091_s_at	CBX3	11335
620_201092_at	RBBP7	5931
621_201093_x_at	SDHA	6389
622_201094_at	RPS29	6235
623_201095_at	DAP	1611
624_201096_s_at	ARF4	378
625_201097_s_at	ARF4	378
626_201098_at	COPB2	9276
627_201099_at	USP9X	8239
628_201100_s_at	USP9X	8239
629_201101_s_at	BCLAF1	9774
630_201102_s_at	PFKL	5211
631_201103_x_at	NA	NA
632_201104_x_at	NA	NA
633_201105_at	LGALS1	3956
634_201106_at	GPX4	2879
635_201107_s_at	THBS1	7057
636_201108_s_at	THBS1	7057
637_201109_s_at	THBS1	7057
638_201110_s_at	THBS1	7057
639_201111_at	CSE1L	1434
640_201112_s_at	CSE1L	1434
641_201113_at	TUFM	7284
642_201114_x_at	PSMA7	5688
643_201115_at	POLD2	5425
644_201116_s_at	CPE	1363
645_201117_s_at	CPE	1363
646_201118_at	PGD	5226
647_201119_s_at	COX8A	1351
648_201120_s_at	PGRMC1	10857
649_201121_s_at	PGRMC1	10857
650_201122_x_at	EIF5A	1984
651_201123_s_at	EIF5A	1984
652_201124_at	ITGB5	3693
653_201125_s_at	ITGB5	3693
654_201126_s_at	MGAT1	4245
655_201127_s_at	ACLY	47
656_201128_s_at	ACLY	47
657_201129_at	SFRS7	6432
658_201130_s_at	CDH1	999
659_201131_s_at	CDH1	999
660_201132_at	HNRNPH2	3188
661_201133_s_at	PJA2	9867
662_201134_x_at	COX7C	1350
663_201135_at	ECHS1	1892
664_201136_at	PLP2	5355
665_201137_s_at	HLA-DPB1	3115
666_201138_s_at	SSB	6741
667_201139_s_at	SSB	6741
668_201140_s_at	RAB5C	5878
669_201141_at	GPNMB	10457
670_201142_at	EIF2S1	1965
671_201143_s_at	EIF2S1	1965
672_201144_s_at	EIF2S1	1965
673_201145_at	HAX1	10456
674_201146_at	NFE2L2	4780
675_201147_s_at	TIMP3	7078
676_201148_s_at	TIMP3	7078
677_201149_s_at	TIMP3	7078
678_201150_s_at	TIMP3	7078
679_201151_s_at	MBNL1	4154
680_201152_s_at	MBNL1	4154
681_201153_s_at	MBNL1	4154
682_201154_x_at	RPL4	6124
683_201155_s_at	MFN2	9927
684_201156_s_at	RAB5C	5878
685_201157_s_at	NMT1	4836
686_201158_at	NMT1	4836
687_201159_s_at	NMT1	4836
688_201160_s_at	CSDA	8531
689_201161_s_at	CSDA	8531
690_201162_at	IGFBP7	3490
691_201163_s_at	IGFBP7	3490
692_201164_s_at	PUM1	9698
693_201165_s_at	PUM1	9698
694_201166_s_at	PUM1	9698
695_201167_x_at	ARHGDIA	396
696_201168_x_at	ARHGDIA	396
697_201169_s_at	BHLHE40	8553
698_201170_s_at	BHLHE40	8553
699_201171_at	ATP6V0E1	8992
700_201172_x_at	ATP6V0E1	8992
701_201173_x_at	NUDC	10726
702_201174_s_at	TERF2IP	54386
703_201175_at	TMX2	51075
704_201176_s_at	ARCN1	372
705_201177_s_at	UBA2	10054
706_201178_at	FBXO7	25793
707_201179_s_at	GNAI3	2773
708_201180_s_at	GNAI3	2773
709_201181_at	GNAI3	2773
710_201182_s_at	CHD4	1108
711_201183_s_at	CHD4	1108
712_201184_s_at	CHD4	1108
713_201185_at	HTRA1	5654
714_201186_at	LRPAP1	4043
715_201187_s_at	ITPR3	3710
716_201188_s_at	ITPR3	3710
